Title,Price,Sold,Reviews,Condition,Brand,Power Source,Material,Voltage,Model,Color,Features,Item Width,Item Length,MPN,Smart Home Protocol,Country/Region of Manufacture,Manufacturer Warranty,UPC,Timer Control,Refrigerant,Custom Bundle,Number of Heat Settings,Year Manufactured,Smart Home Compatibility,Heating Element Format,Air Direction,BTU Heating Rating,Heating Element Material,Tank Capacity,Control Style,Energy Star,Energy Efficiency Ratio (EER),Annual Fuel Utilization Efficiency (AFUE),Area Covered,Cable Length,Width,EC Range,Current Rating,Item Depth,Type,Tonnage,Heating System,Mounting Location,Operating Sound Rating,Power,EAN,Location,Heating Technology,Room,Modification Description,Battery Included,Bundle Description,Battery Size,Modified Item,Weight,Depth,Number of Batteries,Battery Capacity,Battery Life,Length,Motor Type,Room Coverage Area,Height,Heating Wattage,Colour,Energy Rating,Time Control,Contents of the package,Material Type,Switch Car heater,Air Outlet Car heater,Item Type,Size:,Core Material:,Heating element:,Manufacturer Part Number,ISBN,Size,Heating Method,Item Dimensions LxWxH,SHIPPING,RETURN,ITEM LOCATION,International buyers,ProductGroup,PartNumber,Label,Studio,Manufacturer,Binding,Warranty,Publisher,ProductTypeName,Model Number,Item Height,Package,Piece Count,Item Weight,Room Size,Indoor/Outdoor,Product Depth (in),Wattage (watts),Heater Type,Product Width (in),Area Heated (Sq Ft),Heater Controls,Color Family,Amperage (amps),Certifications and Listings,Portable Heater Safety Features,Product Height (in),Cord Length (in),Voltage (volts),Power/Fuel Type,Product Weight (lb),Portable Heater Features,Country of Origin,Prop65_fl,Prop65Warning,SKU,Application/Usage,Area Coverage,Form Factor,Input Voltage,Maximum Heat Power,Product Model,Product Type,Timer,Weight (Approximate),Heat rating (BTU/hour),Pack Size,Heat Output,Handling Time,Shipping,Satisfaction,Customer Service,International Shipping,Returns,Note,Department,Style,Ventilation Type,Chamber Depth,Finish Type,Model No.,Assembled Product Dimensions (L x W x H),MaterialType,Voice Control Hub Required,Remote Access,Smart Home,Requires Hub?,Works With,Power Options,Item Weight ‏,Hight,New Title,Fuel Type,Heating Element,Minimum Heat Power,Item model number,Warranty Description,Batteries Required,Batteries,Is Assembly Required?,Is Discontinued By Manufacturer,Product Dimensions,item_width,item_length,Mount Type,package_length,Package Dimensions,Baseboard Heating Type,Hydronic,Product Length (in),Thermostat,Heating Product Type,Heating Technology Type,Vented,Number of Cool Speeds,Product,Size Type,Automatic shutoff,Installation,Timer Included,Anti-freeze setting,ACLI Safety Plug,Remote Control,Accessories Included,Oscillation,Tax,VAT Rate,For,COUNTRY  OF ORIGIN,Amazon Title,Generic Keywords,Category 1,Category 2,Weight (lbs),Length (in),Width (in),Height (in),Feature Bullet 1,Feature Bullet 2,Safety Tip-Over Switch,Indoor Safe,Ignition,Heat Settings,BTU Per Hour,Recommended Location,Assembled Depth (in),Color/Finish,Patio Heater Type,Assembly Required,Assembled Height (in),Total BTU,Cord Length (ft),Heating Area (sq ft),Outdoor Living Product Type,Assembled Width (in),Housing Material,Country Of Origin,TAX,Handling Time:,Questions,Product Style 3,Product Style 4,Product Group,Product Style 1,Product Style 2,Assembly,Dimensions,Air Flow,Product Features,Overall Width,Special Features,Wattage,Heating Element Type,Cord Length,Overall Height,Plug Type,Power Type,Assembled Product Weight,NumberOfItems,Bundle Listing,Item Location,Category,IsAdultProduct,Shipping Weight,Mount Location,Product Weight (lb.),Product Weight lb,Product Depth in,Package Condition,Area Heated Sq Ft,Area Heated (Sq. Ft.),Heat Output BTU/hour,Functionality Check II,Product Lot Quantity,Returnable,Brand:,Control Style:,Power:,Energy Efficiency Ratio (EER):,Material:,Number of Heat Settings:,Cable Length:,Power Source:,Mounting Location:,Tank Capacity:,Operating Sound Rating:,Heating Element Format:,Features:,Color:,MPN:,BTU Heating Rating:,Item Depth:,Area Covered:,Heating Element Material:,Item Length:,EC Range:,Condition:,Item Width:,Annual Fuel Utilization Efficiency (AFUE):,Country/Region of Manufacture:,Model:,Energy Star:,Voltage:,Style:,Custom Bundle:,Heating System:,Modified Item:,Mounting,Product name,Power line,Product Meas,Heating power,Use,Net Weight/Gross Weight,Box Size,Package Include,manufacturer_part_number,Maximum Coverage Area,Power cord,Product size,Net weight/Gross weight,Box size,Package Included,BoxSize,Rated Voltage,Main material:
600W/1500W Outdoor Electric Patio Heater_Balcony Courtyard Ceiling Mount Style,113.23,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Unbranded,Electric,"Aluminum,stainless steel",120V 60Hz,,Silver,,,,Does Not Apply,,China,Other: See Item Description,686086811381,,,No,,,,,,,,,,,,,,,,,,,Patio Heater,,Halogen tubes heating,,,600W/1500W,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chain Patio heater,1.6m,43*43*33CM,600W/1500W,Out door / Indoor,2.64kgs/3.54,46.7*45.2*35.9CM,1x Electric Patio Heaters+1x Product manual,,,,,,,,,,
Dura Heat TT-30CSA Tank Top Double Propane Heater,110.0, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",DuraHeat,Propane,Steel,,Dura Heat TT30,Silver,,,,TT30CSA,,,,,,,,1,,,,,,,,Switch,,,,,,,,,,,,Convection,,Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Space Heater for Indoor Use, Lifeplus 50° Oscillating Portable Electric Heater w",114.47,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Does not apply,Corded Electric,,,,,,,,,,,,313042859841,,,,,,,,,,,,,,,,,,,,,,Does not apply,,,,,,0313042859841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Does not apply,7.68 x 7.68 x 16.34 inches,Radiant,7.68 x 7.68 x 16.34 inches,,,,,,,,,,,,,,,,,,3.22 Pounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lasko 5165 Digital Ceramic Tower Heater with Remote Control, 1500W, White",139.99, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Lasko,,Ceramic,,Lasko 5165,White,,,,,,,,,,,,,,,,,,,,"Digital, Remote Control",,,,,,,,,,Tower Heater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Portable Buddy Radiant Propane Heater, Piezo Igniter, Swivel Regulator ",111.87, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Unbranded,Propane,,,,Black,,,,,,,,,,,,,,,,,4000 to 9000,,,,,,,,,,,,,Portable Heater,,Radiant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6' 120V BASEBOARD HEATER (Thermostat not Included),111.71,7 watchers, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Fahrenheat,Electric,,120 V,,White,,,,F2516,,,,00098319713803,,,,1,,,,,,,,,,,,,,,,,,Baseboard Heater,,,Wall,,,0098319713803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dyna-glo portable heater 50k-80k-btu convection propane tower,112.27, ,"[""Don't expect lots of hot air as it does not have a fan, but the big plus is that you don't need electricity to run the unit, just propane."", 'lots of heat ouptput.  used it in a cabin and was quite easy.  quick setup.  does use a fair amount of propane at 14 degrees farenheit outside.  learned to heat up the building and turn it off for a awhile, then turn it back on again to reheat the cabin.', 'Heats my two car garage with ease , I would recomend!', 'Heats my garage fast and keeps it warm on low,,,', 'The heater does what was advertised.  It heats my shop well, but must be in a vented area.', ""It's not doing exactly what I want but appears to be a decent product."", 'Very nice ', 'Not what I expected, not good for garage use like,they say.', 'It will certainly do the advertised BTU and it  works exceptionally well', 'Box completly water damaged,rusted, manual soaked unreadable, missing screws, no caps on the gas nozzles.. frkn ripoff']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Dyna-Glo,,Steel,,,Silver,,,,RMC-LPC80DG,,,,0872076015345,,,,Variable,,,,,,,,,,,,,,,,,,,,,,,,dose not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bladeless 1500-Watt Electric Ceramic Oscillating Space Heater Digital Display ,111.08,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Does not apply,,Plastic,,,Gray,,,,,,,,313023960993,,,,2 Heat,,,,,,,,,,,,,,,,,,Does not apply,,,,,,0313023960993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,Medium,Indoor,9.16,1500,Bladeless,8.1,300,Electronic,Grays,12.5,ETL Listed,"Cool-to-the-Touch,Nonslip Base",27.17,72,120,Electric,9.8,"Digital Display,Oscillating,Remote Control,Thermostat,Timer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23 in. Electric Cyclonic Ceramic Console Heater with Remote,112.3, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Lasko,,Acrylonitrile Butadiene Styrene (ABS),,,Black,,,,CC24910,,,,0046013458391,,,,2 Heat,,,,,,,,,,,,,,,,,,,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasko 175 sq. ft. Electric Digital Tower Heater -Pack of 1,113.25, ,"[""I've had several Lasko heaters, but especially like the pedestal ones.  I currently have one very similar which is 10 years old &amp; still going after heavy use.  It did make a strange noise recently &amp; decided to buy another one just in case it might be wearing out.  However, haven't heard the noise again.  This is an updated model of my old one."", ""Overall this is a good little heater. It has a small footprint and it will warm a small-medium size room in about 15-20 minutes.  The ability of the unit to oscillate and the fact that it has remote control makes this about as convenient as it gets. Lots of good features and controls. Only caution is to make sure that you don't have two of these units plug into outlets that are on the same breaker.  If you do the breaker has to be at least 20amps. Anything less will trip the breaker on high draw when the heaters are warming the room. This is definitely more efficient than powering up to central heater for the whole house."", 'My last lasko heater lasted 7 years and was used a lot. I love the design of the new one. Hopefully it lasts as long as my first one. This one is quieter with a remote👍', 'This works well in heating our family room.  Saves heating the whole house.  I especially like remote control and ability to adjust to different temps.  Takes up little space and turns like a fan so covers a wide area.', 'We bought this for my son in laws man cave and he loves it. He turns it on and 10 minutes later can stay in his man cave all night long! Considering its been in the single digits, its an awesome heater and at a very good price!', ""i needed to heat a small room it works great but they don't give you the required screws to put it together.  I had screws at the house that worked.  i could imagine how this would make some people mad tho"", ""Here in NW Florida, it gets cold enough for a heater. To save money I dont cut on my main heat. It's a heat pump. Heat pumps dont provide much heat and they cost a lot to run. I have two of these lasko tower heaters. They provide all the heat I need  and keep my electric bill manageable."", 'I bought  2 of these for supplemental heat . I love the thermostat and the timer . They work wonderfully and I would buy them again.', 'I have owned two in the last 6 years one is still working well. I bought my new one to replace oil one good for 300 square foot room quite running.Recommend getting the pedestal one it seats higher.', 'The output of air does not go very far but I use it close by.']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,,,,0046013764423,,,,,,,,,,,,,,,,,,,,,,,,,,,,0046013764423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasko 5586 Digital Ceramic Tower Heater with Remote,114.99, ,"['Very nice heater!  It oscillates back and forth and keeps a pretty constant temperature in a medium sized space.  The remote works well and I am happy with this purchase', 'This little ceramic heater is wonderful!  It is loaded with features including oscillating and has a remote control with it.  It works like a charm very quietly and automatically according to the thermostat control.  I highly recommend this space heater!', ""My office is in the lower level of the house which is naturally colder than the rest of my home. Rather than heat up the whole house to warm this one room this Lasko heater does a terrfic job of keeping me comfortable even on the coldest days.It's quiet, efficient, and just does the job."", 'heats up a room quickly and quietly.... well made verses the earlier models..', 'Took for ever to warm a sun room of 10 x 12, than it didnt even bring it up to 70 degrees, was on most of the day. .  heat output was not that good. Will never purchase anyone. Price was way to much for the quality of how well it worked.', ""Couldn't find a more inexpensive excellent quality space heater. Just ordered another!"", 'Solid model. Quiet does the job well. Worth the buy.', 'Good products. Thanks.', 'I received mine in the mail turned it on only lasted one day and stopped working. Do not recommend this product at all to anyone']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Lasko,Electric,Ceramic,120 V,,Gray,Timer,,,5586,,,,0024070570416,,,,2,,,,,,,,"Digital, Touch, Remote Control",,,,,,,,,,Tower Heater,,Convection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Heat Storm HS-1000-WX-WIFI Wifi Infrared Wall Heater, 1000 Watt",114.45, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Heat Storm,Electric,Plastic,110 V,HS-1000-WX-WIFI,White,"Wall-Mountable, Thermostat, Remote Control, Cool-Touch Exterior, Indoor",13 in.,4 in.,HS-1000-WX-WIFI,Wi-Fi,,,0854271005987,15 Minutes,,,2,2019,Wi-Fi,,,3400,,,"Voice,Digital,Remote Control,Touch, Thermostat, Touch,Remote Control, Remote Control, Digital,Voice,Touch,Remote Control, Voice,Touch,Remote Control,Digital, Digital, Voice,Touch,Digital,Remote Control, Touch, Touch,Digital,Voice,Remote Control, Voice",,,,"Under 150 sq ft, 500 sq ft",,,,,,"Infrared, Infrared Bulb Heater",,Infrared,"Floor, Wall, Floor,Wall",,1000 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000 Watt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lasko Portable Electric 42"" Oscillating Tower Fan with Nighttime Setting Time...",111.55, ,"[""This lasko curve fan is great, it is very quiet and moves the air very well with 3 different speeds and a night setting for your convenience. Also has a remote control which let's you control everything at your fingertips. A great buy."", ""It's perfect height for my bedroom - and easy to move  when I need it at my desk. I didn't think I'd use the timer but I have and like it."", 'Replace one I had for8 years still good quality ', 'I am enjoying my lasko. Tower fan very much ', 'Very good I recommend', 'Very quiet  &amp; powerful', 'WORKS LIKE A CHARM', 'Very quiet. Works great!']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Lasko,Electric,Ceramic,120 V,T42951,Gray,"Remote Control, Indoor",13in.,13in.,T42951,Infrared,,,0046013463562,10 Hours,,,3,,,,,,,,Remote Control,,,,,,,,,,"Tower Fan, Tower Heater",,,Freestanding,,54,0046013463562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0046013463562,"42""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
delonghi oil filled radiator heater 1500 watt on wheels . new unopened ,145.0, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",De'Longhi,Oil,Steel,120 V,kh390715cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Portable Oil Filled Radiator,,Radiant,Floor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bladeless 1500-Watt Electric Ceramic Oscillating Space Heater with Digital and,111.97, ,"['The slim design takes up little space, it puts out heat very quickly and the remote control is a great feature!', 'After doing a lot of research I chose this heater because it had reviews from others saying it heated large rooms. I have an open kitchen to LR and it does heat up both so much that I have to run on low I get to hot. My previous heater was also a lasko. But the difference with this one is it heats the air not objects in the room. I would buy another. Differences are infared heats objects in room convection heats the air. ', 'I thought by it being blameless it would be silent operation but it is a little noisy. Otherwise nice design.', '   I have been using this heater for about ten days and it still emits a very strong unpleasant smell when turned on. It lasts about twenty min into the use of it. I WILL be returning it as I can no longer tolerate the smell as it makes both me and my wife nauseous. ', 'works great']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Lasko,Electric,Ceramic,120 V,Lasko AW315,"Gray, Black","Auto Shut-off, Timer, Oscillation",10.8 in,8.1 in,AW315,,,,0046013776358,8 hrs,,,2,,ADT Pulse,Coil,,Less Than 2000 BTU,Brass,1 gal or Less (5 L),"Remote Control, Digital, Touch",,3 or Less,,,,,,,,Portable Heater,,Convection,Floor,None,1001-1500 W,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StyleWell Barkridge Infrared Electric Log Set SP2215-IR-PHRM,115.0, , ,"Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. ",Stylewell,Electric,,120 V,Barkridge SP2215-IR-PHRM,Black,,8.8 in,21 in,SP2215-IR-PHRM,,,,,,,,Variable,,,Strip,,,,n/a,Push Button,,,,351-400 sq ft,,,,,,Portable Heater,,Infrared,Floor,,1001-1500 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heater Space Room Low Profile Quiet 1500-Watt Silent Electric W/Digital Display,111.49, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Does not apply,,Metal,,,White,,,,,,,,313036829836,,,,1 Heat,,,,,,,,,,,,,,,,,,Does not apply,,,,,,0313036829836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,Small,Indoor,39.75,1500,Convection,5.5,150,Electronic,Whites,12.5,ETL Listed,"Auto Shut Off,Nonslip Base,Tip-Over Safety Switch",9,72,120,Electric,11.1,"Digital Display,Thermostat,Timer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
