Title,Price,Sold,Reviews,Condition,Heating Element Format,Model,Colour,Custom Bundle,Modified Item,Item Depth,Item Width,Energy Efficiency Rating,Material,Tank Capacity,Power Source,Type,Features,Operating Sound Rating,Energy Efficiency Ratio (EER),MPN,Mounting Location,Item Length,Area Covered,Number of Heat Settings,Power,BTU Heating Rating,Brand,Control Style,Heating Element Material,EC Range,Heating System,Annual Fuel Utilization Efficiency (AFUE),Voltage,UPC,Tonnage,Color,Rated Voltage,Mounting Hole Distance:,Mounting Hole Size,Size,Cooling Method,Cable Length,Weight,EAN,Country/Region of Manufacture,Air Direction,Manufacturer Part Number,Smart Home Compatibility,Prop65_fl,Item Height,Manufacturer,Prop65Warning,Country of Origin,Year Manufactured,Smart Home Protocol,ISBN,Perfermance 2,Product Name,Temperature,Application,Cover material,Lead wire,Energy Star,Perfermance 1,Current Rating,Marke,Rated Power,Mounting Hole Distance,International Availability,Compatible Brand,Compatible Model,Department,Product,Refrigerant,Timer Control,Manufacturer Warranty,Corrugation Length,Heating material,Location,Bundle Listing,Depth,Heater Style,Heating mode,Heating Wattage,Height,Mounting distance dimensions,Recommended Environment,Power Type,Recommended Location,Actual Color,Object Type,Handmade,Item Weight,Temperature Tolerance,Heat Material,Range,Shell Material,Gift,Shipping,Country Of Origin,Package Contents,Wire  Length,Wire width x thickness,Perfermance,Cable length,Product Type,Country of Manufacture,Item model number,Package Dimensions,Warranty,Maximum power,Placement on Vehicle,fit 1,Style,Part Type,OutOfStockControl,Control Type,Energy Rating,Wattage,Wire Length,Item Type,Noise,Feature,Patio Heaters Type,ProductType,Head Material,Pin,Usage,Body Material,Current Amp,inv,select,Kero-Sun Omni 85 I-L Wick,Wick 509,Hole Diameter,Color:,Final Product,Size:,Compatible Product,HeatMate CTN110 Wick,KeroHeat HMN-110 Wick,Measurement (Approximate),Redstone Wick,Resistance Properties,Name,Rated power,Rated frequency,Rated voltage,Applicable area,Control method,Recommended environment,Applicable,Package Included,Power Wire Length,Product color,Product function,Product power,Product size,Product voltage,Power supply,Unit Type,Plug Type,*1. Voltage,*2. Shell color,*3. Length of power cable,*4. Power,*5. Product size,Product Dimensions,Domestic Shipping,California residents,International Shipping,Shipping Weight,Applications 2,Applications 3,Function 1,Function 2,Batteries Required?,Assembly Required,Heating Method,Item Dimensions LxWxH,Is Discontinued By Manufacturer,Non-Domestic Product,Kero-World KW-23B
1500 watt  Heater Fan,16.5, , ,"Seller refurbished: The item has been restored to working order by the eBay seller or a third party. This means the item was inspected, cleaned, and repaired to full working order and is in excellent condition. This item may or may not be in original packaging. See seller’s listing for full details. ",,HF-0020,,,,,,,,,Electric,,,,,,"Tabletop, Under Desk",,,3,,,,Dial,,,,,120 V,,,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mini Electric Heater Portable Desktop Winter Fan Air Heating Warmer Home Office,15.62,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,,,,,,Does Not Apply,,,,,,,Unbranded,,,,,,,,,,,,,,,,,,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mini fan heater,500W,50Hz,220V/110V,less than 10 square meters,switch,indoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vornado VH203 Personal Heater & Gold-Compact Cool Touch Electric 750w,20.0, ,"[""This item is functional as a fan but the heater settings are not very hot.  The only real advantage of this item is that the lower electricity usage keeps the cord &amp; electric plug from becoming dangerously hot and melting your electric outlet (like with other heaters  1000W).  Other than that I can't really say much else about this item.  Since my bed area is just an open space in the men's dorm of my recuperative care shelter I have no idea if these machines can really circulate the air in a small enclosedspace.  I am glad to have two of them though because my bed is right under a vent duct in the ceiling and with the AC over functioning I get a lot of cold air blowing on me at all hours.  But I'm basically sleeping with the heaters in my bed on high because of the weaker heat settings.  Caveat empetor."", 'Great personal heater, fairly quiet (white noise, basically), perfect for a small space like on an office desk or while sitting on the sofa.  Not recommended for heating a larger room, but for personal use it can’t be beat.  Also very easy to move with you, unlike the tower style heaters that are very common in the market.  It has a lower setting too, which can come in handy because in a small setting (on the sofa), it can get you warmed up very quickly on high.', 'Nice heater for the money. This is my second one...great for small areas. ', 'GREAT desk fan and heater!  I like the fact it has a shut off feature if it tips over.  I loved it so much that I bought another for a different work place.  Highly recommend!', ""One blade on the fan was broken during shipment.I used a soldering iron to melt it back on. Doesn't heat like I thought it would.Its ok for small bathroom ."", 'Light weight, takes little space to store.  Works perfect for small areas.', 'This is a nice personal heater.  If you want a little heat for your personal space, it does the trick.', 'The heater works well for a small room.  The fan without the heat is weak.', 'This was a replacement of one that quit working these are great little heaters that work and heat in small areas']","Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. ",Coil,VH203,,,,7.85 in,"7.82 in, 7.82in.",,Plastic,,Electric,Space Heater,"Portable, Power Indicator, Cool-Touch Exterior, Overheat Protection",Standard,,VH203,"Floor, Desk/Tabletop",,551-600 sq ft,2,701-800 W,Less Than 2000 BTU,Vornado,Touch,Steel,,Forced Air/Fan,,120 V,0043765011188,,Multicolor,,,,,,,,0043765011188,,1-Way,,,,,,,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Personal Space Heater,Mini Ceramic Electric Heater 3 Temperature Modes for Home ",19.99,30-day returns, ,"Seller refurbished: The item has been restored to working order by the eBay seller or a third party. This means the item was inspected, cleaned, and repaired to full working order and is in excellent condition. This item may or may not be in original packaging. See seller’s listing for full details. ",,,,,,,,,Ceramic,,Electric,Portable Heater,,,,,Desk/Tabletop,,,3,3W/600W/900W,,Unbranded,Rotary Knob,,,,,120 V,,,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car Front Heater Cooler Dryer Fan Defroster Demister Portable Heating 12V 150W,,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,Does not apply,,,,,,,Plastic & Metal,,,regular,Allows you to defrost your windows quickly.,,,Q0EYMJI4MQ,,,,,150W,,Unbranded/Generic,,,,,,12 V,Does Not Apply,,Black,,,,,,,,,,,Does Not Apply,,,,,,,,,,,,,,,,,,,,,,,Does not apply,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Does not apply,China,,,,,Front,for universal,Does not apply,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KEROSUN MOONLIGHTER,OMNI15,RB-2,TSC-15 Kerosene Heater WICK/IGNITER/BRUSH & MORE",17.99,83 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,"501, MOONLIGHTER, OMNI 15, RAINBOW 2",,,,,,,,,Kerosene,Portable Heater Wick,,,,501,,,,,,,World Marketing of America,,,,,,,013204005016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTC Car Fan Air Heater 100W 12V Constant Temperature Heaters Energy Saving US,19.99,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,No,,,,,As Description,,"As Description, PTC Car Fan Air Heater",PTC Heater,,,,Does Not Apply,"Desk/Tabletop, Wall",,,1,100W,,Unbranded,"Analog/Mechanical, App Control, Digital",,,As Description,,12 V,Does Not Apply,,Black,,,,,,,,,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC 12V Electric Car SUV Heater Heating Fan Cooling Defogger Defroster Demister,18.99,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,,,,,,Does Not Apply,,,,,,,Unbranded,,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,Vehicle-mounted Heater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In-car,1x Defrosting demister,About 1.5 meters,black and white,Defrost and fog removal,150W,12cm*6.5cm,12V,,,,,,,,,,,,,,,,,,,,,,,,
12V Car Auto Heater Electric Windshield Heating Cooling Fan Defroster Demister,18.99,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,,Heater,,,,Does Not Apply,,,,,,,Unbranded,,,,,,,Does not apply,,Black,,,,11*12*4CM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fan heater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Car battery,,,,,,,,,,,,,,,,,,,,,,,
Dyna-Glo SP-KHW-055-I Replacement Wick and Ignitor for RMC-55R7 DH-200,16.99,Last item available, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Coil,Sp-KHW-055-I,,,,,6.5 in,,,,"Kerosone, Kerosene, Electric",Portable Heater,,None,8.1-9,SP-KHW-055-I,"Floor, Wall",0.35 in,651-700 sq ft,1,Less Than 10 W,2000-2999 BTU,Dyna-Glo,"Push Button, Analog/Mechanical",,,Radiant,100%,,0872076025078,,White,,,,,,,,,Korea,,,,,,,,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mini Portable Travel Plug-In Electric Wall Outlet Space Heater Black,20.0, , ,"Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. ",,,,,,,,,,,Electric,Baseboard Heater,,,,Does not apply,Wall,,,,900 Watts,,Unbranded,"Push Button, Remote Control",,,,,,,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Air Heater,EU Plug,,,,,,,,,,,,,,,,,,,,,
LASKO Portable Ceramic Space Heater Model 5154,19.95, , ,,,5154,,,,,,,Ceramic,,Electric,Portable Heater,,,,,"Desk/Tabletop, Floor",,100 sq ft or Less,10,1001-1500 W,,Lasko,Rotary Knob,Ceramic,,Forced Air/Fan,,,,,Gray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12V Car Heater Warm Cold Dual Use Car Low Noise Defog NEW Fan Windscreen W8U3,14.39,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,,as shown,Array,,,Does Not Apply,,,,,,,Unbranded,,,,,,,,,,,,,,,,,,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12V (suitable for cars), 24V (suitable for trucks)","black, white, pink (optional)",1.5m,150W,about 7.5 * 15 * 10.5cm,,,,,,,,,,,,,,,,
200 Watts Comfort Zone Red Ceramic Electric Heater CZ410 Compact Small Space,, , ,,,,,,,,,,Ceramic,,Electric,Portable Heater,,,,,Desk/Tabletop,,,1,101-200 W,,Comfort Zone,Switch,,,,,120 V,,,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vintage Arvin Metal Space Heater Model 5524I MCM Works!,50.0, , ,,Coil,Arvin,,,,7 in,12 in,,Steel,N/A,"Electric, Fan",Portable Heater,Tip-over stop switch,Standard,3 or Less,N/A,"Desk/Tabletop, Floor",13 in,Unknown,Variable,1650 Watts,unknown,Arvin,"Analog/Mechanical, Rotary Knob",Steel,A+++ - E,Electric with fan,none,120 V,,,Cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NICOH Kotatsu heater code For intermediate code replacement cord NC-KC302 Japan,19.8,21 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,,Does not apply,,,,NC-KC302,,,,,,,Niko,,,,,,,4580417230321,,,,,,,,,,4580417230321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Office Desktop Space Heater, Electric Ceramic Personal Heater Black 250 watt",18.99,Last item available, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Coil,MH-08M,,,,6 in,"8""",,Ceramic,N/A,Electric,Portable Heater,Mini,None,3 or Less,NA,Desk/Tabletop,N/A,101-150 sq ft,1,201-300 W,2000-2999 BTU,Soleil,Push Button,Stainless Steel,A - G,Forced Air/Fan,Less Than 80%,120 V,815900020740,,Black,,,,,,,,,China,,,,,,,,,,,,,,,,,,Compliant,,,,,,,,,,,,,,,,,,,,,,,,Indoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heater Portable Heat Personal Ceramic Energy Efficient Small Black 250W,,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",NA,NA,,,,NA,5”,,Ceramic,NA,Electric,Portable Heater,Auto Shut-off,None,NA,NA,Desk/Tabletop,NA,100 sq ft or Less,2,Less Than 10 W,Less Than 2000 BTU,Unbranded,Touch,NA,A+++ - D,Forced Air/Fan,Less Than 80%,120 V,Does not apply,,Black,,,,,,,,,Unknown,,,,,,,,,2017,,,,,,,,,Compliant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Safe Constant Temperature PTC Heating Thermostat Heater Plate Tool for Heating,7.44,60-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,Does Not Apply,Silver,,,,,,Aluminum,,Electric,Air Heater,lightweight,,,Does Not Apply,Does Not Apply,,,,Less Than 1000 W,Less Than 2000 BTU,Unbranded,Analog/Mechanical,,,,,12 V/24V/220V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thermostat,Not Compliant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasko Model 5420 Ceramic Portable Space Heater with Adjustable Thermostat,19.99, , ,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",Coil,Does not apply,,,,4 inches,~6 inches,,Ceramic,Not Applicable,Electric,Does not apply,None,Standard,Unsure,754200,Anywhere,10 inches,100 sq ft or Less,5 or More,1001-1500 W,Unsure,Lasko,Analog/Mechanical,Unsure,A - G,Forced Air/Fan,Unsure,120 V,NA,,Silver,,,,,,,,,,,,,,,Lasko,,,,,,,,,,,,Unsure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5 pounds,,,,,,,,,,,,,,,754200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5 x 6.7 x 10 inches,Item can be shipped within U.S.,Click here for Proposition 65 warning,This item can be shipped to select countries outside of the U....,3.52 pounds,,,,,,,,,,,
HEATER SOLEIL PERSONAL ELECTRIC CERAMIC RED NEW 250 WATTS MH-01R COOL TOUCH.,18.99, ,"['good for small room or in a small bath room or just warm feet under the table', 'Very Compact and efficient 1 power level quiet running perfect for the office desk', ""It doesn't take up a lot of space.  I have it in my bedroom.  Takes a little while for the room to warm up, but after it does, it's good. I like it.  Would buy it again."", 'Just enough for the bedroom in our RV and really helps by not draining our solar!', 'great product, I am using it on our RV.', 'The heater works great but it was supposed to have a thermostat?', 'Quiet and simple', 'Nice little heater']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,Soleil MH-01R,,,,,,,,,Electric,,,,,Does Not Apply,,,,,,,Soleil,,,,,,,815900020115,,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100W 12V Electric Silicone Heating Plate Heater Pad Mat Silicone Heating Coil,17.49,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,Silicone,,,Silicone heating pad,,,,Does Not Apply,,,,,,,Unbranded,,,,,,,Does not apply,,Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1*Silicone heating pad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC12-Volt 360° 200W Car Heater Heating Cooling Fan Windshield Defroster Demister,18.59,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,,Heater,,,,Does not apply,,,,,,,Unbranded/Generic,,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4Pcs Universal Wheel Caster Wheel Spare for Gree Pioneer Midea Electric Heater,16.50,60-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,,,,,,,,,,,,,,,,,,,Unbranded,,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTC Thermistors 100°C Degree 220V 100W Aluminium Ceramic Heater Heating Element,23.95,30-day returns, ,New,,,,,,,,,,,,,,,,6661_Hair_Dryer_Blower_Curlers_Thermistor_Electric,,,,,,,PTC Thermistors,,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMFORT GLO  C22800 KEROSENE HEATER Wick & Igniter TUNE-UP KIT,16.99, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,KEROWORLD,,,,,,,,,Kerosene,Kerosene Heaters,"Portable, Vent Free",,,28033,,,,,,,World Marketing of America,,,,,,,013204280338,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1pcs Front Heater Cooler Dryer Fan Defroster Demister Portable Heating Universal,15.93,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,Does not apply,,,,,,,Plastic & Metal,,,regular,Allows you to defrost your windows quickly.,,,Q0EYMJI4MQ,,,,,150W,,Unbranded/Generic,,,,,,12 V,Does Not Apply,,Black,,,,,,,,,,,Does Not Apply,,,,,,,,,,,,,,,,,,,,,,,Does not apply,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Does not apply,China,,,,,Front,for universal,Does not apply,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTC Film Heating Element Heater Constant Temperature Ceramic Heaters AC12V 2pcs ,,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,Heating Element,,,,,,,Ceramic,,,Electric Water Heater Parts,,,,Heating Element,,,,,,,Unbranded,,,,,,12 V,,,,,,,50x15x3.5mm,,,,,,,,,,,,,,,,,,PTC Heating Element,80/120/200 degrees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,About 15cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"For heating air or solid,gases","PTC heater for yoghurt machine, Instrumentation...",Widely used in hair crimping iron or straighten...,"PTC heating element is high reliability, long s...",,,,,,,
PTC Heating Element Aluminum Shell Miniature Automatic Temperature Heater Sheet ,,Free shipping and returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Standard,8064643452,,,,Standard,Standard,,Aluminum,Standard,Electric,Electric Water Heater Parts,Ceramic Core,Standard,Standard,8064643476,Other,Standard,Standard,Standard,Standard,Standard,Unbranded,Digital,Standard,A - G,Boiler,Standard,AC/DC 5~220V,,,Silver,,,,20*15*5mm,,,,,China,,,,,,,,,,,,,PTC Heating Element,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,±10℃,PTC Ceramic Core,40~270℃,Aluminum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
