Title,Price,Sold,Reviews,Condition,UPC,Brand,Control Style,Power Source,Color,Voltage,MPN,Material,Number of Heat Settings,Current Rating,Item Length,Heating Element Format,Air Direction,BTU Heating Rating,Type,Heating System,Features,Area Covered,Mounting Location,Item Width,Power,Model,Custom Bundle,Item Depth,Item Height,Manufacturer,Package,Piece Count,Item Weight,Year Manufactured,Size,Energy Star,Timer Control,Energy Efficiency Ratio (EER),Operating Sound Rating,Heating Element Material,Annual Fuel Utilization Efficiency (AFUE),Modified Item,Non-Domestic Product,Country/Region of Manufacture,Smart Home Compatibility,Tank Capacity,Smart Home Protocol,Cable Length,Manufacturer Warranty,Maximum Room Size,Color Category,Home Decor Style,Power Type,Recommended Use,Number of Drawers,Count,PPU Quantity of Units,Seating Capacity,Count Per Pack,Assembled Product Dimensions (L x W x H),Recommended Location,Shape,Assembled Product Weight,Global Brand License,Is Electric,Mount Type,Recommended Room,Product Name,Number of Burners,Colour,Location,Manufacturer Part Number,ISBN,EAN,Binding,Returns,Thermostat,manufacturer_part_number,Heating Wattage,Heater Style,Recommended Environment,Power (W),Height,Depth,Finish,EC Range,Style,Room Coverage Area,Modification Description,Manufacturer Color,Bundle Description,Width,Item model number,Batteries Required,Heating Method,Product Dimensions,item_width,item_length,Thickness,Warranty:,Wattage,Amperage,Certifications,Maintained operational temperature,Power Cord Length,Remote Control,Warranty Description,Country of Origin,Batteries Required?,Volume,Department,Import Designation,Finish Types,Is Discontinued By Manufacturer,Number of Pieces,Item Dimensions LxWxH,Power/Fuel Type,Indoor/Outdoor,Product Weight (lb),Amperage (amps),Room Size,Product Width (in),Portable Heater Features,Cord Length (in),Area Heated (Sq Ft),Wattage (watts),Heater Type,Certifications and Listings,Product Height (in),Color Family,Portable Heater Safety Features,Heater Controls,Voltage (volts),Product Depth (in),New Title,Number of Cool Speeds,Compressor Type,Refrigerant,Product Weight (lb.),Product Depth (in.),Product Length (in.),Area Heated (Sq. Ft.),Heat rating (BTU/hour),Pack Size,Number of Elements,Bulb Type,Mount Location,Product Width (in.),Product Height (in.),Resistance Properties,Protection Properties,Batteries,Package Dimensions,Heat Output,Mounting Style,Number of Speeds,Fan Style,Blade Orientation,Time Control,Suitable For,Model No.,SKU,Vent Hose Exhaust Configuration,Tonnage,Item Weight Major,Plug type,Plug,PackQty,Brand compatible,Cod. ETCO,Mark,Use,Service,Seller,Customer service,Hydronic,package_length,Baseboard Heating Type,Shipping Exclusions,Product Length (in),Heating Product Type,Satisfaction,Heating Technology Type,Vented,Price,USA Shipping,product_height_in,heating_product_type,wattage_watts,baseboard_heating_type,voltage_volts,certifications_and_listings,product_depth_in,heat_rating_btu_hour,color_family,hydronic,amperage_amps,power_fuel_type,product_length_in,heating_technology_type,pack_size,product_width_in,vented,product_weight_lb,thermostat,heater_controls,automatic_shutoff,installation,heater_type,timer_included,anti_freeze_setting,indoor_outdoor,acli_safety_plug,number_of_heat_settings,remote_control,accessories_included,oscillation,Supply,Timer,Turbo Fan,Nett Weight,Is Dishwasher Safe,Specification met,Is Assembly Required?,Gift,Shipping,Label,PackageQuantity,ProductGroup,ProductTypeName,Publisher,Studio,Ignition Type,Run time (hours),Fuel rate (gallons/hour),Fuel Tank Capacity (gallons),Place Of Installation,Control Type,Bundle Listing,Length,Item Diameter,Filtration Technology,Application,Contaminants Captured,Filter Life,Humidification Method,Ventilation System,Vent Style,Output Voltage,Input Voltage,Plug Type,Voltage Conversion,MaterialType,NumberOfItems,Assembly Required,Heat Range Diameter,Mounting,Fuel Type,SHIPPING,TAX,Customer Service,Handling Time:,Questions,Theme,Price Per Unit UOM,Is Portable,Age Group,Watts,Gender,Number of Shelves,Is Powered,Multipack Quantity,Calentador De Agua Cubeta,De Inmersión Con Elemento,Calentador De Agua Cubeta-,Dimension,Watt,Is Pet Friendly
Trustech Electric Space Heater for Indoor Use 1500W Fast-heating 60°Oscillati...,85.55,30-day returns, ,"Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. ",Does not apply,TRUSTECH,,,Black,,Does not apply,,,,,,,,,,,,,,,Does not apply,,,,,,,,,Portable Small Space Heater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6937590201156,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cadet RBF Series Bathroom Heater Flush-Mount Wall Can Only,87.25,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",0027418792433,Cadet,"Remote Control, Touch, Dial, Switch",Electric,Black,12 V,79243,Steel,1,,,,,,,,"Oscillation, Timer",,Wall,,,,,,,,,,,,,,,,,Steel,100%,,,,,,"Bluetooth/Bluetooth Low Energy (BLE), Bluetooth",6.500,,,,,,,,,,,,,,,,,,,,,,,,,Does Not Apply,0027418792433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Optimus Portable Oscillation Ceramic Heater with LED Display,85.51,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",0630326172459,Optimus,,,,,H-7245,,,,,,,,Space Heaters,,,,,NA,,H-7245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,Home Improvement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEGA-H-7245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comfort Zone® Low Profile Baseboard Digital Silent Operation CZ650,88.69,30-day returns,"['excellent convection heater , low power draw than my smaller electric portable space heaters. the thermostat though lower setting; the actual temperature register or indicated on display is often 10 degree higher and needs to be re-set via turning off/on the heater. jeg70', ""It's awesome.  Very efficient, dead silent and with the thermostat and trimmer I can precisely set the room temp I want for the time I want. "", 'Perfect for our walk-in closet that is always freezing in winter.  I really like the feature that allows you to automatically control the temperature of the room.  It keeps the closet from getting too hot. ', ""I had another heater in the room that just wasn't doing the trick. Fan would run all the time and not produce enough heat. Replaced it with this unit and am so happy with it. Nice and quiet , too !!"", 'something inside of unit was rtling and could not set the unit to work to opperate! tosed out and got another similar unit, could have been due to shipping?', 'This heater works excellent! Maintains set temperature and makes the whole room feel comfy and warm.', 'Working great puts out good heat ', 'I do like it very much.  Great in my home office when I need extra heat!', 'It works great after it’s broken in . My daughter Loves it.', 'Great controls']","Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. ",0075877125521,comfort zone,"Switch, Remote Control, Digital",Electric,Black,120 V,CZ650B,Metal,1,,,,,,"Baseboard Heater Heaters, Baseboard Heater",Convection,"Timer, Indoor",,,7.4,,CZ650,,,,,,,,,DIGITAL BASEBOARD HEATER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0075877125521,0075877125521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINEAR CONVECTOR BASEBOARD HEATER 35"", 1250W, 120V, WHITE",86.49,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",781052064164,Dimplex,Touch,Electric,White,,LC3512W31,Steel,,,,,,,Baseboard Heater,,,,Wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0781052064164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LC3512W31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kensington Warmview Desk Ceramic Heater K55465NA,89.99, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,Unbranded,,Electric,Listed,,Does Not Apply,Ceramic,Unknown,,Unknown,Unknown,,Unknown,Portable Heater,Unknown,High Velocity,Unknown,Unknown,Unknown,,Listed,,Unknown,Unknown,,,,Unknown,,,Unknown,,Unknown,,Unknown,Unknown,,,China,,Unknown,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Optimus PHE-1500BR Garage-Outdoor Hanging Infrared Heater with Remote,89.07,30-day returns, ,"Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. ",0630326641016,Optimus,Remote Control,Electric,Black,110 V,MOPHE1500BR,Aluminum,2,,,Coil,,Less Than 2000 BTU,,Infrared,,100 sq ft or Less,,,,Does not apply,,,,,,,,2000,,,,,Standard,,Less Than 80%,,,,,,Infrared,100 sq ft,,,,,,,,,,,,,,,,,,,,,,,,,0630326641016,0630326641016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasko 754201 Small Portable 1500W Electric Ceramic Space Heater with Tip-Over...,87.4,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",046013770974,Lasko,,,Dark Gray,,Does not apply,,,,,,,,,,,,,,,Does not apply,,,,,,,,,9.2 x 7 x 6 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0046013770974,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cute,Best,Funny,Girls,Kids,Boy,Girls",Free Shipping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat Storm Wall Gray HS-1000-WX Deluxe Indoor Infrared Space Saving-1000 Watt...,87.68,30-day returns, ,"Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. ",0854271005666,Heat Storm,"Switch, Remote Control, Digital, Touch",Electric,Gray,120 V,HS-1000-WXG,,2,5.1-10 A,13in.,,1-Way,3400 BTU,Portable Heater,Infrared,"Auto Shut-off, Wall Hanging",350 sq ft,Wall,4in.,500-1000 W,HS-1000-WXG,,,,,,,,2000,,,,,40-544 dB,,,,,,,,Infrared,300,,,,,,,,,,,,,,,,,,,,,,,,,0854271005666,0854271005666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vornado Velocity 3 Space Heater With 3 Heat Settings, Adjustable Ostat, And Adva",87.61, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",711181781601,Unknown,,,Does Not Apply,,Does Not Apply,,,,,,,,Does not apply,,,,,,,Does Not Apply,,,,Vornado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0705353188817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 LED Display Portable Electric Fireplaces Heaters Stove 900W for Bedroom ,87.36, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Does Not Apply,Does Not Apply,,,Black,,Does Not Apply,,,,,,,,,,,,,,,LQ-FP123A,,,,,,,,,"6.30""(L) x 6.30""(W) x12.20""(H)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Does Not Apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kitchen,FIREPLACE,,,,,,,,,,,,,,,,,,,,,,,Plastic,1,,,,,,,,,,,,,,,,,,,,,,,,
"Little Buddy 3,800 BTU Portable Radiant Propane Heater Camping Hunting Safe New",85.21,30-day returns,"['Bought this for my weekend get always for camping. Just what I needed to keep my camper van nice and toasty.', 'Love this heater.  I have two of the buddy heaters but I like the size of this one though it doesn’t put out as much heat. ', 'Sturdy, safe, enough heat for small area, i.e. tent, ice shanty, etc.', 'THE BOTTOM REMOVABLE BASE IS NOT BIG ENOUGH', 'Great heater. Can be bought for less at local sporting goods store ', 'A great little heater', 'Provides amazing results in the small space of the car.', 'Great product works perfectly ', 'Great Price! Perfect!', 'Nice and good price']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",313115768742,Mr. Heater,,,Red,,F215161,,,,,,,3000-3999 BTU,Portable Heater,Radiant,,100 sq ft or Less,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Does not apply,0313115768742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metro (METRO) kotatsu Replacement heater U-shaped quartz tube MSU-501H (K),85.2,60-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,Metro Electric Industry,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fhstars Space Heater for Indoor Use, 1S Fast Heating Electric Oscillating Portab",89.6, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",313033992991,Does not apply,,Corded Electric,,,,,,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Does not apply,0313033992991,,,,,,,,,,,,,,,,,,,,,Convection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honeywell Hz-7300 Deluxe Energy Smart Cool Touch Heater, Black",89.57, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",705353147586,Unknown,,,Black,,Does Not Apply,,,,,,,,Does not apply,,,,,,,HZ-7300,,,,Honeywell,,,5 pounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Does not apply,0744759828644,,,,,,,,,,,,,,,,,,,HZ-7300,No,Forced Air,1134 x 815 x 1291 inches,1291,815,,,,,,,,,3 year limited warranty,,,,,Made in USA or Imported,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slant/FinHydronic Baseboard 30 5 ft. Galvanized Steel Convection Nu White,85.88,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",0042541000927,Slant/Fin,,,NU WHITE,,101-401-5,,,,,,,,,,,,,,,101-401-5,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,0042541000927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costway 1500W Electric Oil Filled Radiator Space Heater 5.7 Fin Thermostat Room,88.46, ,"[""These type of heaters can range from $50 to $200. I've had a more expensive heater that when you put it on Low setting, medium dial, the room is warm. Medium setting, medium dial, you're burning up.<br&gt;For $55, you shouldn't hesitate to buy this one!This product Low Setting, pretty high dial to get room temperature. Medium setting, high dial, you're warm. It seems more power for more heat (but that's normal duh!)  Had it for a few weeks now, no problems.</b<span>"", 'I have another oil filled radiator and keep it on the 600 watt setting for my small bedroom.It works great and so I wanted one for my other room that measures 10x25 feet. I ordered this one expecting to keep it on the high setting (1500 watts) but only need to keep it on the med. setting which is adequate.  I am very pleased with this heater. I hate being cold!', 'Climate change coming , if your central air breaking down , this can be a backup , except the roller wheels need to mount further , when you dragging this wheels , it look like it going tilts one side or another side . The quality is still a question marks , I wrote this is just only 1 week review , the long run is skeptical. I hope this heater last ', 'With all-electric baseboard heating, I have found these oil filled radiators are much more energy efficient and better capable of regulating the comfort of a  Minnesota winter with enormous savings on my electric bill!', 'I like the heater, it works well. just one flaw. the power light stays on even when the unit is actualy off.', 'A great cost alternative to other brands and a terrific heater', 'The heater is a good value for the price. You will keep a small room toasty, meaning about 200/300 square foot. Very very quiet, don’t hear it running. Not exactly sure how much electricity it burns, but well built and simple to use....!!', 'Best heater to use that works on oil. No noise, smell or fan wind around. This kind of heater will last long enough and  I’m sure will be your loved one to keep you warm!', 'Great heater heats my entire living room', 'Did not efficiently warm a 27’ rv. Expected more for the price. Ended up finding a less expensive model locally  with a great eco mode']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",6952938393744,Costway,,Electric,White,120V,EP22611,Not Specified,3 Heat,,28.900,,,,"Portable Oil Filled Radiator, Radiator",Radiant,"Thermostat, Indoor",,Portable,"5.7 in, 5.7in.",,EP22611,,,,,,,,,Not Specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6940350811908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Replacement heater for kotatsu Stepless adjustment 510W MSU501HK expedited ship,88.20,Free shipping and returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Does not apply,METRO,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comfort Zone 1500 Watt Electric Fireplace Stove Heater w/ 3D Flame Effect CZFP4,89.0,23 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",075877125972,comfort zone,"Switch, Touch",Electric,Black,120 V,CZFP4,"Plastic, Metal",2 Heat,,17.000,,,5120,Electric Portable Heater,Convection,"Indoor, Cool-to-Touch",Under 150 sq ft,Wall,11.600,750/1500,CZFP4,,,,,,,,,,,15 Minutes,,Quiet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comfort Zone 1500 Watt WATERPROOF Indoor/Outdoor Radiant Patio Heater CZPH20RSL,89.0,7 watchers, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",075877201942,Comfort Zone,,AC,Silver,,CZPH20RSL,Metal,,,26.570,,,,,,,,,7.090,,CZPH20RSL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cadet Energy Plus Wall Heater 1600 watt ,90.0, , ,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",,Cadet,,,,,,,,,,,,,,,,,Wall,,1600 watt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
