Title,Price,Sold,Reviews,Condition,Model,Type 1,Material,Type,MPN,Brand,Voltage,Size,Color,Mounting Location,UPC,Marke,Annual Fuel Utilization Efficiency (AFUE),Gas Consumption (kg/h),Gas Type,Ignition Device,Overheat Cut-Off Temperature,Supply Pressure (Mbar),EAN,Power Source,Item Length,Colour,Heating Element Material,Control Style,Heating System,Item Width,Power,Manufacturer Part Number,Manufacturer,Item Height,Item Weight,Number of Heat Settings,Smart Home Compatibility,Area Covered,Features,Smart Home Protocol,Operating Sound Rating,Heating Element Format,BTU Heating Rating,Energy Efficiency Ratio (EER),Item Depth,Tank Capacity,Power/Fuel Type,Indoor/Outdoor,Product Weight (lb),Amperage (amps),Room Size,Product Width (in),Portable Heater Features,Cord Length (in),Area Heated (Sq Ft),Wattage (watts),Heater Type,Certifications and Listings,Product Height (in),Color Family,Portable Heater Safety Features,Heater Controls,Voltage (volts),Product Depth (in),Year Manufactured,Air Direction,Cable Length,Assembled Product Dimensions (L x W x H),Assembled Product Weight,ISBN,Energy Star,Timer Control,Binding,Returns,Country/Region of Manufacture,Custom Bundle,Refrigerant,Tonnage,Manufacturer Warranty,Current Rating,Unit Type,Power Type,Recommended Location,manufacturer_part_number,BTU Cooling Rating,Bundle Description,Energy Efficiency Rating,Number of Cool Speeds,Product Type,Noise,Wind Speed,EC Range,Heating Method,Item Dimensions LxWxH,Recommended Environment,Room Coverage Area,Heater Style,Width,Heating Technology,Height,Manufacturer Color,Prop65_fl,Prop65Warning,Location,Modified Item,SHIPPING,RETURN,ITEM LOCATION,International buyers,PackQty,Vehicle Type,Heat Type,Style,Color/Finish,Housing Material,Fuel Type,Assembled Width (in),Cord Length (ft),Assembly Required,Assembled Height (in),Heating Area (sq ft),Outdoor Living Product Type,Assembled Depth (in),Total BTU,Patio Heater Type,Shipping,Tax,Item Location,Quantity,Country of Origin,Label,PackageQuantity,ProductGroup,ProductTypeName,Publisher,Studio,750 Watts,1500 Watts,Living Room Safe,Bedroom Safe,Stage,Approved,Mobile Home Safe,Cod. ETCO,Mark,Supply Voltage,Power Rating,Peak Temperature,Heating Wattage,Baseboard Heating Type,Hydronic,Product Length (in),Thermostat,Heating Product Type,Vented,Heat rating (BTU/hour),Heating Technology Type,Weight,Hight,Product Name,Thickness,Modification Description,Model No.,Product Length in inches,Product Width,Product Height,Product Weight in pounds,Materials,product_height_in,product_depth_in,heater_controls,automatic_shutoff,installation,wattage_watts,heater_type,certifications_and_listings,timer_included,color_family,anti_freeze_setting,indoor_outdoor,acli_safety_plug,number_of_heat_settings,heating_technology_type,remote_control,product_width_in,power_fuel_type,thermostat,heating_product_type,accessories_included,heat_rating_btu_hour,pack_size,amperage_amps,voltage_volts,oscillation,product_weight_lb,Heating BTU,Length,SKU,Application/Usage,Form Factor,Product Model,Heating Element,Maximum Heat Power,Product Family,Product Line,Item model number,Batteries Required?,Is Discontinued By Manufacturer,Product Dimensions,Is Dishwasher Safe,Department,Import Designation,Number of Pieces,Specification met,Included Components,assembled_depth_in,firebox_depth_in,assembled_height_in,area_heated_sq_ft,total_btu,firebox_height_in,assembly_required,firebox_width_in,heat_output_btu_hour,assembled_width_in,included,Is Assembly Required?,Batteries Required,Sub-Type,Finish,Package,Piece Count,Model Number,Depth,Number of Batteries,Battery Size,Battery Included,Motor Type,Battery Capacity,Battery Life,Configuration,International Availability,Produktart,Heizsystem,Leistung,Montageort,Stromquelle,Spannung,Steuerungsart,Anzahl der Heizstufen,Farbe,TAX,Customer Service,Handling Time:,Questions,Number of Items In Set,UPC/GTIN Code,Mor Electric Heating SKU,Pack Size,ItemPackageQuantity,Number of Shelves,Number of Drawers,Seat Depth,Seating Capacity,Firmness,Set Includes,Number of Items in Set,Load Capacity,Stove Type Compatibility,Installation,Product Lot Quantity,Shipping Weight,Global Brand License,Home Decor Style,Is Electric,Is Pet Friendly,Variant Group ID,Theme,Price Per Unit UOM,Count Per Pack,Number of Burners,Is Portable,Is Primary Variant,Recommended Room,Count,Age Group,Actual Color,Gender,Is Assembly Required,PPU Quantity of Units,Mount Type,Variant Attribute Names,Multipack Quantity,Compressor Type,GTIN,Number of shelves,Stove Type Compability,Product,Wattage,Item Package,Warranty,Dimensions,NumberOfItems,MaterialType,Agency Compliance,Watts,Heat Output,Binding Size,Fragrance Name,Country of Manufacture,Scale,Connectivity,Playable Media Format,Volume,Chipset Manufacturer,Screen Size,Compatible Brand,Chipset/GPU Model,Processor,Storage Capacity,Case Size,Band Material,Battery,Maximum Resolution,Display Technology,Mount,Internet Connectivity,Bundle Listing
"Comfort Zone 1500-Watt/5120 BTU Deluxe Electric Radiant Heater, White",101.97,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,Does not apply,,Does not apply,,,Multicolor,,313027753737,,,,,,,,0313027753737,,,,,,,,,CZ550,H2 Brands Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.00 x 5.50 x 11.25 Inches,4.75 lbs,Does not apply,,,,,,,,,,,,,Indoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Climate Keeper - 6 Element Cabinet Heater - #PH-96K,100.0, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",#PH-96K,,Plastic,,,Climate Keeper,,,Black,Cabinet,0481053761504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BLACK+DECKER Ceramic Heater, One Size ",100.45, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",BHVHC15,,,,Does Not Apply,Does Not Apply,,One Size,Black,,Does Not Apply,,,,,,,,Does Not Apply,,,,,,,,,,BLACK+DECKER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BLACK+DECKER,1,Home,SPACE_HEATER,BLACK+DECKER,BLACK+DECKER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 year limited warranty.,,1,Ceramic,,,,,,,,,,,,,,,,,,,,,,,,
9000 BTU Propane Portable Buddy Heater Heating Warmer 200 sq ft Space MH9BX,104.99, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Mr. Heater Buddy MH9BX,,"Aluminum, Steel",Portable Heater,F232000,Mr. Heater,,,"Red, Black",Floor,0089301321618,,,,,,,,,Propane,,,,"Rotary Knob, Analog/Mechanical",Radiant,,,does not apply,does not apply,,,Variable,,201-250 sq ft,Auto Shut-off,,,,8000-8999 BTU,,,1 gal or Less (5 L),,,,,,,,,,,,,,,,,,,,,,13.40 x 8.30 x 15.00 Inches,7.71 V,,,,,,,,,,,,,Gas,Indoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qmark Marley 202SLB 170W Radiant Heater under Desk Warmer W Optional Thermostat!,100.0, , ,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",QMark 202SLB,,,Radiant Heater,202slb,QMark,120 V,,White,,Does not apply,,,,,,,,,Electric,,,,,Radiant,"22.75""",,,,,,1,,,"Safety Tip Over Switch, Power Indicator Light",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14.325""",Off-White,,,Office,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matte,,,,"1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UL/CUL,170,,,,,,,,,,,,,,,,,,,,,,
Lasko Portable Oscillating Ceramic Tower Space Heater with Timer and Remote,101.89,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,Ceramic,Tower Heater,Does not apply,Lasko,,"22.5"" x 7.2"" x 8.39""",Black,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,Timer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rare Wall Heater Painting  Thermal Arts Inc Floral,130.0, , ,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",,,Wood,Portable Heater,,thermal arts inc.,120 V,,Beige,Wall,,,,,,,,,,Electric,15,,,Dial,Radiant,23 in,101-200 W,,,,,3,,,,,,Coil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WAPEMORK Space Heater for Indoor Use - Portable Personal Electric Heaters, Small",104.49, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,Does not apply,,Does not apply,,,Black,,726084419759,,,,,,,,0726084419759,Corded Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,"Radiant, Convection",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500 Watts,,,,,,,,,,,,,,,,,,,,,
Mr. Heater F215100 MH4B Little Buddy 3800-BTU Indoor Safe Propane Heater Medi...,100.35, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Does not apply,,,,Does not apply,Mr. Heater,,Medium,Black/Red,,089301151000,,,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0089301151000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr. Heater F215100 MH4B Little Buddy 3800-BTU Indoor Safe Propane Heater Medi...,102.5, ,"['Even though it cost almost 1 1/2 One Pound Coleman tanks from 9pm to 5am,  it’s great. Keeps my whole RV toasty warm. I would recommend by a large propane tank to refill the 1 pound tanks. Much cheaper. But I’ve not been cold once. The safety feature of turning off it it tilts is great. Only problem I have found is the bottom piece you place on propane tank does not secure properly and falls off when lifted off the ground to move the heater. ', 'This little buddy heater is a fine unit for use in an ice fishing shelter or flip over sled / tent. It is the right size and has a small footprint.The angle of the head heating element is perfect for warming wet hands and can be easily aimed to direct the heater output.The only down side is that it can be difficult to light in even the slightest breeze.', ""This is just the right amount of heat and size  for my needs compared to the regular Mr. Heater but does not hold up to heavy use. Have had a regular size that I use in an icefishing house that has years of use on it. The little buddies I've had are lucky to make an ice season before getting had to light and the just quitting. Love the little buddies while they work but the regular Mr buddy is a much better long term value."", 'I bought this to heat my ice fishing hut and only used it a handful of times. Looks like it’s made pretty durable, the igniter works good, like the carry handle, the metal shield cools down pretty quick if you want to move spots. The negatives are the sensor for the automatic shut off is way too sensitive, if you dont have it pretty close to PERFECTLY flat it goes out which is a pain. Also there is no heat control so once it’s first lit it’s just barely staying lit, can’t have any wind blow on it or it goes out, plus once the honeycomb section is lit well finally and red it’s burning propane at such a low rate heat does not blow out of it, it only rises from it. I guess the plus to that is low propane consumption but it would be nice to be able to crank it up if you want to blow some heat at you. This is a new school version of a metal coffee can with a roll of toilet paper inside soaked in Isopropyl rubbing alcohol. ', ""These things do a good job of heating my small fish house, but it does not take long and they get hard to light and won't work Have gone through three in three ice fishing seasons.. The regular size Mr. Heater is more reliable and I should probably just stick with those but the smaller size and a bit less btu's just works better in my tiny and very well insulated fish house.Have tried the cleaning method described in the manual but it is very hard to take apart and nothing seems to help."", 'Bought 3 fir use to heat bedrooms in the house during power outages.  Just arrived and a week later a planned one day power outage.  With new born baby, needed to ensure both mom and baby would stay warm.  Used the heater and it was fine.  ', ""I have the larger Mr. Heater for our sailboat works great! So I bought this for our RTT roof top tent ..works good don't get as hot which is good for a tent ,But! the base that holds the 1lb tank should be twice the size feels like it could fall over .I plan on fabricating a larger base :)                                                                        -=CC=-"", ""Not cheap. It is tippy with the 1 lb cylinder. I asked Mr Heater for a parts list to hard pipe it directly to a 5 lb or 20 lb cylinder and I got parts list for using a hose. I don't want to use a hose. I like that it is quiet. I like that you don't need matches. I wish it had more than 1 heat output setting. It seems to be the best match available of heat output needed for my collapsible fish house."", ""I used this in my motorhome to keep the chill off at night and not have to use the furnace, which runs the batteries down significantly while boon-docking. It will run for 6 hours on one propane bottle, so it will not last all night. However, if you start it at midnight, it will run until 6 AM, at which time you can turn on your furnace for a short time if you're an early riser. Alternatively, if you don't want to run the furnace in order to save batteries, you could light the burners on your stove. Be sure to crack a window so as not to deplete all the oxygen. This unit works well."", ""Light weight. Compact.It doesn't take up allot of space. Easy to use. Does a good job heating my Ice Fishing Hub perfectly. ""]","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Does not apply,,,,Does not apply,Mr. Heater,,Medium,Black/Red,,089301151000,,,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0089301151000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021 Balcony Courtyard Ceiling Mounted Style 1500W Outdoor Electric Patio Heater,104.97,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,steel,Patio Heater,Does Not Apply,LKEA,,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Atomi Smart WiFi 25"" Ceramic Tower Space Heater",100.0, , ,"Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. ",,,Ceramic,Tower Heater,,Atomi,,,,,,,,,,,,,,,,,,,,25 in,,,,,,,,,,Wi-Fi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr. Heater Portable Forced Air Electric Heater - 5000 BTU/1.5 kW/120-: F236120,104.79,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",MH165FAET,,Steel,Electric Heater,F236120,Mr. Heater,120 V,13 x 14.5 x 14.25,Black,Wall,0089301001305,,Less Than 80%,,,,,,0089301001305,Electric,14 in.,,,Dial,Forced Air/Fan,15 in.,1001-1500 W,,,,,2,,136 sq ft,,Infrared,Standard,,5118 BTU,,13 in.,,,,,,,,,,,,,,,,,,,,2018,1-Way,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Men,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Westinghouse WES31-1200MWHT Infrared Electric Outdoor Heater Oscillating-Port...,101.4,30-day returns, ,"Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. ",Does not apply,,,,Does not apply,Westinghouse,,,White,,822990020918,,,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0822990020918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heater,100.0, , ,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",,,Ceramic,Portable Heater,,Unbranded,,,Gray,Floor,,,,,,,,,,Electric,,,,"Touch, Switch",Forced Air/Fan,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 F232050 MH9BX Portable Buddy Heater (Massachusetts/Canada),102.64,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",MH9BX,,,Heater,"F232000, MH9BX",Mr. Heater,,,Black,Floor,0089301320505,,,,,,,,0089301320505,Battery,14.25 in,,Copper,Rotary Knob,Heat Pump,9in.,,,,,,3,,,,,,,4000-9000 BTU,,14.25in.,20 gal,,,,,,,,,,,,,,,,,,,,,,,,,,6 hrs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costway Electric Portable Infrared Quartz Space Heater Filter Remote 1500W Black,102.99,Returns accepted, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Does Not Apply,,Steel,Portable Heater,EP21683,Costway,120 V,,Black,Floor,,,Does Not Apply,,,,,,,Electric,15.5 in,,Steel,Remote Control,Infrared,11 in,1001-1500 W,,,,,Variable,,151-200 sq ft,Timer,,Standard,Coil,Does Not Apply,Does Not Apply,14 in,Does Not Apply,,,,,,,,,,,,,,,,,,,,,,,,,A++,,,,,,,,,,,,,,,,,,,,,A++ - E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PELONIS PTH15A4BGB Ceramic Tower 1500W Indoor Space Heater with Oscillation,102.31, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,Ceramic,Tower Heater,Does not apply,Pelonis,,7.17 x 7.17 x 22.95 inches,Manual Grey,,810049710231,,,,,,,,,,,,,,,,,,,,,,,,Oscillation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Overheat & Tip-Over Protection, Digital Rotating Heater for Room Home Office",102.28, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",N/A,,Aluminum,Tower Heater,Does not apply,hOme,,Standard Size,Black Mesh,,Does not apply,,,,,,,,,,,,,Digital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
