Title,Price,Sold,Reviews,Condition,Brand,Type,Features,Power (W),MPN,EAN,Heating Element Format,Model,Colour,Control Type,Custom Bundle,Location,Manufacturer Colour,Modified Item,Width,Size,UPC,Non-Domestic Product,Material,Power Source,Mounting Location,Number of Heat Settings,Area Covered,Power,Control Style,Heating Element Material,Height,Depth,Heating System,Voltage,Color,Assembled Product Dimensions (L x W x H),Power Type,Manufacturer Part Number,Recommended Location,Assembled Product Weight,Manufacturer,ISBN,Timer Control,Item Length,Smart Home Protocol,Item Width,Bundle Listing,Unit Quantity,Unit Type,Bundle Description,Country/Region of Manufacture,Customized,Item Weight,Modification Description,Motorized,Personalized,Cable Length,Year Manufactured,Design,Voltage Supply,Item Depth,Operating Sound Rating,Annual Fuel Utilization Efficiency (AFUE),Air Direction,Number of Cool Speeds,Heating Technology,BTU Heating Rating,Room Coverage Area,Energy Star,Tank Capacity,Energy Efficiency Ratio (EER),Style,Noise Level,Manufacturer Color,OutOfStockControl,Item Height,Prop65_fl,Prop65Warning,Current Rating,Manufacturer Warranty,Connectivity,Product Weight (lb.),Power/Fuel Type,Product Width (in.),Indoor/Outdoor,Amperage (amps),Room Size,Portable Heater Features,Product Depth (in.),Area Heated (Sq. Ft.),Wattage (watts),Heater Type,Product Height (in.),Portable Heater Safety Features,Cord Length (in.),Voltage (volts),Heater Controls,Smart Home Compatibility,Heating Method,Item Dimensions LxWxH,Assembled Height (Inches),Use Location,Current Rating (Amps),Lowe's Exclusive,Energy Saving Setting,Thermostat,Warranty,EC Range,Manufacturer Color/Finish,Anti-Freeze Setting,Remote Control Included,Portable,Timer,Package Quantity,Series Name,CA Residents: Prop 65 Warning(s),Suitable for Safe Rooms,Wattage,Application,Certifications,Clearance,Heating Wattage,Maintained Operational Temperature,Recommended Environment,Remote Control,Compressive strength,Power deviation,Cable length,Product Name,Thickness,Shipping,Heat Output,Country of Origin,Compatible Brand,Voltage / Wattage / Amperage,Poultry Species,Hatching Egg Breed,Built In Thermostat,Clearance to Combustible Materials,Product Color / Weight,Product Dimensions,Programmable Timer,Remote Control / In-Cord Switch,RESTOCK FEE,Heating BTU,Tonnage,Product Width (in),Cord Length (in),Area Heated (Sq Ft),Heat rating (BTU/hour),Pack Size,Product Height (in),Color Family,globalTradeItemNumber (GTIN),Product Weight (lb),Certifications and Listings,Product Depth (in),Power consumption,Product weight,Heater type,Fins width,Package includes,Oil volume,Power supply,Indoor/outdoor,Item model number,Warranty Description,Department,Finish Types,Number of Pieces,Volume,Is Discontinued By Manufacturer,Batteries Required,Import Designation,item_length,item_width,Accessory Type,Use,Price,Seller,Returns,Service,Satisfaction,USA Shipping,Customer service,Shipping Exclusions,Topic,Language,Age Level,Refrigerant,PackQty,Compressor Type,style,Heater Style,Date Made,Dimensions,Features 1,Features 2,Source,2 heat settings,Carry Handle,Mount Location,Product Length (in),Bulb Type,Number of Elements,Energy Rating,manufacturer_part_number,Origin,Certification,Model Number,Insulation,Pattern Name,Battery Capacity,Battery Life,Weight,Length,Number of Batteries,Battery Size,Battery Included,Motor Type,SKU,StoreCategoryID,Output Power,Gift,Hight,UPC/GTIN Code,Mor Electric Heating SKU,Assembly Required,Firmness,Mount Type,Number of Items in Set,Product,Set Includes,Binding,Studio,Publisher,ProductTypeName,ProductGroup,PackageQuantity,NumberOfItems,Label,Model No.,Application/Usage,Area Coverage,Form Factor,Heating Element,Input Current,Input Voltage,Maximum Heat Power,Oscillation,Power Consumption,Product Model,Product Type,Weight (Approximate),Time Control,Room,Contents of the package,Rated power,Direction adjustment,Power cord length,brand name,Heating method,Overall Height,Overall Width,Heating Element Type,Cord Length,Plug Type,UL Listing,Minimum Heat Power,Baseboard Heating Type,Hydronic,Heating Technology Type,Vented,Heating Product Type,Home Decor Style,Price Per Unit UOM,Fuel Type,Count Per Pack,Country of Origin - Textiles,Finish,Is Portable,Count,Age Group,Color Category,Contained Battery Type,Recommended Use,PPU Quantity of Units,Piece Count,"Cleaning, Care & Maintenance",Shape,Maximum Room Size,Power Options
Orpat OQH 1200 Modern Sturdy Design Climate Control Portable Quartz Room Heater,, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Orpat,Quartz Heater,"Oscillation, Timer",,Dose Not Apply,,Strip,OQH 1200,,,No,,,,,,Dose Not Apply,,Metal,Electric,Floor,3,151-200 sq ft,"400 W ,800 W & 1200 Watt","Digital, Remote Control",Copper,58 Cm Approx,,Radiant,240 V,Gray,,,,,,,,,35 Cm Approx,Infrared,16 Cm Approx,,,,,India,,,,,,,,,,16 in,None,Less Than 80%,,,,Mention on pack,,A+,1 gal or Less (5 L),Mention on pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A+++ - D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2900 Gram Approx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HeTR Portable Space Heater 1500 Watt Forced Air Heater with Ceramic Heater El...,73.11, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",HETR,,,,Does not apply,Does not apply,,Does not apply,,,,,,,,,697453911429,,,,,,,,,,,,,,Red,,,,,,,0697453911429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New METRO Replacement heater for kotatsu U-shaped quartz tube heater MSU-501H(K),70.23,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",N/A,N/A,N/A,,N/A,,N/A,N/A,,,,,,,,,Does Not Apply,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,,,,,,,,,N/A,,N/A,,,,,,,,,,,,,,,N/A,N/A,N/A,,,,N/A,,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOLEMOOD Ceramic heater [Self-temperature control / Safety energy saving design,73.19,Free shipping and returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",SOLEMOOD,,,,N/A,,,,,,,,,,,,N/A,,,,,,,,,,,,,,Black walnut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOLEMOOD,Warm air type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qmark Corded Electric Residential Fan Force Zonal Heater CZ2048T White S USED,, , ,,Qmark,,,,Does Not Apply,,,CZ2048T,,,,,,,,,685360161617,,Does Not Apply,,,,,,,,,,,,White,,,,,,,,,7.000,,7.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Member's Mark HT1216 Infrared Tower Heater 23"", Heats Up To 1000 Square Feet ",, , ,,Member's Mark,Tower Heater,,,HT1216,,,Model # HT1216,,,,,,,,,193968026455,,Wood,Electric,Floor,,,1500 W,,,,,Infrared,110 V,Brown,,,,,,,,,,,23 in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vornado baby Tempa Nursery Heater/Fan - White (EH1-0137-43),74.5, , ,,vornadobaby,Portable Heater,,,EH1-0137-43,0313043981923,,EH1-0137-43,,,,,,,,,744759751386,,Ceramic,Electric,Desk/Tabletop,1,,,Push Button,,,,Forced Air/Fan,12 V,White,,,,,,Vornadobaby,,,,,,,,,,,,54 Pounds,,,,,,,,,,100%,,,,2000-2999 BTU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fan_&_forced_air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75 x 101 x 109 inches,,,,,,,,,,,,,,,,,,,,,,,,,EH1-0137-43,,,,,,,No,,101,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New LASKO 5409 Oscillating Ceramic Heater,71.23, ,"['This is a very good small heater, I have 2 of them. I believe when used properly they can save on heating costs.They are not meant to heat large areas like central heating.', 'This is a great little heater.  Love the handle on the top....so handy.  It is just the right size of a heater for my needs.  Would definitely recommend.', ""Very pleased. I have a small one bedroom apartment and it keeps it warm enough to where I don't even have to always run the furnace."", 'Heats fast, light, easy to carry and quiet', 'Nice heater.  I paid $30 and saw it at Family Dollar for $33.  Use it in my bedroom.', 'This is a good little heater, and does the job its meant to do.But, Its quite NOISY !.....So, not really suitable for bedroom.', 'Looks new and works as new, happy with item.', ""It's perfect small strong rotates light moves easily."", 'It’s small and works like a big heater !']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Lasko,"Air Cleaning, Cooling & Heating",,,5409,0046013766267,,,,,,,,,,,046013766267,,,Electric,Desk/Tabletop,3,,,"Remote Control, Digital, Touch, Push Button",,,,Convection,,Gray,,,,,,,,,,Infrared,,,,,,,,,,,,8.66in,2016,,,,,,,,,5000-5999 BTU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro Fusion QGW15-602 Over head Work Zone Heater 750/1500 W Ceiling Or Upper Wall,75.0, , ,,Pro Fusion,Work Shop Heater,,,QGW15-602,,,QGW15-602,,,,,,,,,045734667525,,Steel,Electric,Ceiling or Upper Wall Mount,3,,1500 W,Pull Switch,,,,Radiant,120 V,Black,,,QGW15-602,,,Power Zone,,,,,,,,,,,,,,,,,,,,,,,,,,5120 BTU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500W Portable Electric Baseboard Heater 5120 BTU Silent Utility Space Warmer,73.04, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Does not apply,Utility Heaters,,,MOCZ600,,,,,,,,,,,,7445028372341,,,Electric,Wall,2,,1001-1500 W,,,,,Convection,120V,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5120 Btu/h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Baseboard,,,,,,,,,,,,,,,,,,,,,8.5 lbs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-3/4 inch,6-1/8 inch,Electric Wire,6 foot,2 Prong,,,,,,,,,,,,,,,,,,,,,,,,,
Orpat OHH 1200 Modern Sturdy Design Climate Control Portable Halogen Room Heater,, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Orpat,Halogen  Heater,"Oscillation, Timer",,Dose Not Apply,,Strip,OHH 1200,,,No,,,,,,Dose Not Apply,,Gun Metal,Electric,Floor,3,151-200 sq ft,"400 W ,800 W & 1200 Watt","Digital, Remote Control",Copper,58 Cm Approx,,Radiant,240 V,Gray,,,,,,,,,35 Cm Approx,Infrared,16 Cm Approx,,,,,India,,,,,,,,,,16 in,Standard,Less Than 80%,,,,Less Than 2000 BTU,,A+,1 gal or Less (5 L),Mention on pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A+++ - D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2900 Gram Approx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200 Watt Electric Space Heater Oil Filled Radiant Portable Home Office White 🔥,73.75,Last item available, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Comfort Zone,Portable Heater,"Thermostat, Wheels",,CZ7007J,,NA,CZ7007J,,,,,,,,,0075877700728,,Metal,Electric,Floor,3 Heat,300 sq ft,1200 Watt,Dial,NA,,,Radiant,120 V,Gray,,,,,,,,,4.5 Inch,,NA,,,,,,,,,,,,,,,14 Inch,Standard,NA,,,,15000-15999 BTU,,A+++,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A+++ - G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DIMPLEX 500W 20"" WHT Base Heater",72.85,Last item available, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Dimplex,Baseboard Heater,,,LC2005W31,0781052063891,,Does not apply,,,,,,,,,0781052063891,,,Electric,Wall,1,,,Digital,,,,,,White,,,,,,,0781052063891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tower 23 In. 1500-Watt Electric Ceramic Oscillating Space Heater, White",74.94,Last item available,"['The tower was new ""opened box"" performs great.  I use it in our living room to supplementfurnace heat and save money.  The oscillation is a good  feature.', 'This  heater has some great features. Puts out an sufficient amount of heat for one room. Great buy! ', 'Fan is very fast at heating our bathroom.  Adjustable temperatures makes it nice.', 'I love my new Lasko Ceramic HeaterHeats the entire room quickly and quietly. I just bought another. I love this. ', 'This is such a cute heater and performs great. Love it in my kitchen, is just perfect.Loving it.', 'I had one of these for 10 years before it died. I looked for the same model seeing as the first one worked so well for so long. This one is just as good as the first one was. Hopefully it will last just as long.', 'Heats quickly, lightweight, and puts off a good amount of heat, love putting it in the bathroom before I shower!', 'Works well on my enclosed porch exactly as advertised. Especially like the oscillating fan.', ""Heats my son's approximately 500 square ft bedroom in a matter of minutes on the low setting. The high setting is almost too hot to run for long periods this thing works so good. Definitely a great buy for rooms with a draft or just looking to lower heat cost in the winter."", 'Gives out Great Heat and Is Temperature Controlled.']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Lasko,Tower Heater,"Timer, Oscillation",,"LASKO5775, 378, 5775",0313019535501,,,,,,,,,,,313019535501,,Ceramic,Electric,,2,,,"Push Button, Digital",,,,Convection,,"Silver, Gray, White, Black",,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Electric,,Indoor,12.5,Medium,"Handle,Oscillating,Portable,Quiet Operation,Thermostat,Timer",,,1500,Forced Air,,"Auto Shut Off,Cool-to-the-Touch,Nonslip Base",,120,Electronic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1,72,300,,,22.75,Whites,,7.7,ETL Listed,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N-No UL Code Rating,,,,,,,,,,,,,,,,,,,,,,,,
DONYER POWER Electric Radiant Heater Courtyard Quartz Heater 1500W,70.33, , ,"Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. ",DONYER POWER,,,,Does not apply,Does not apply,,Does not apply,,,,,,,,6.89FT,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DuraHeat Portable Electric Space Heater 1500-Watt with Pivoting Base Yellow,71.42,30-day returns,"[""I am somewhat disappointed with this heater.  I work in a large open workspace and winter mornings can be uncomfortable with lower temperatures.  I purchased this heater with the impression that it force out a strong powerful heat.  It surely looks the part.  When I plugged it in, I realized that it didn't put out any more forced hot air than the cheap Walmart heaters. When it heats up, it does warm up an area in my house without problem, but rather useless where I work.  Its also not affective in my garage. My garage is not insulated. Again, the purpose of this heater was to have a reliable source of warm air to work in my garage.  It simply does not have the blower power that it looks to have. Its a good space heater for any room, but not  what I needed it for.  I am disappointed. These should be made with a more powerful blower."", ""Pros - quiet operation.Con - gives off about as much heat as a candle.Do not recommend this product for cold applications.If the room was in the 40's (F) or 50's (F) maybe this would work.  I used it in my garage with a starting temp of 34 (F) and the coils never even glowed.  Gave off some heat but could hold me hand directly in front of the unit for an extended period of time.  Also the picture on the box showed the inner coil glowing, which gives you a sense this unit puts out some heat.  That doesn't happen either.  Would maybe use this in a office setting but not in a work shop."", 'I bought this product  because I have a moderate problem with bed bugs and I know heat is supposed to be one of the methods of killing these bugs. I have not tried using it for this purpose yet but I have used it in my bathroom to see if it would help dry wet clothes which worked well and it also helped me to see how well it heated and see if maybe if it could be a possibility for killing the bugs I have a problem with. not sure if it strong enough for this idea but works great for helping dry clothes and heat a small bathroom. I would suggest anyone trying to use it for any of these purposes closely moniter this heater and not leaving it on when leaving their home or for extended lengths of time , but it is a nice little heater and I would recommend it.', ""Purchases this item because I just poker games in my garage and living in Chicago and being in the winter we needed a heater to help out during game time. I put the heater in max mode and not matter what it just wasn't throwing out enough heat.You literally have to be right in front of the heater to feel anything. I wanted something affordable that was not powered by propane however they do say u get what you paid for."", ""I bought two of these for my garage and disregarded the previous reviews i read. The fan barely puts air out. It gets hot, but the fan almost seems like the motor is junk. I'll still use it. I'll just put a box fan behind it so it can actually move heat around."", ""The heater is built well and is safe however its useless in a garage or outdoors. I would recommend it for use in a indoor room or basement environment where it doesn't have to compete with more harsh temperatures. Not exactly what I was hoping for!"", 'This looks good in the pictures, but is a terrible heater. The forced air is a joke. Plus it does not get hot. With the thermostat on high, after 15 minutes, I could still hold my hand about six inches in front of the grill. Very disappointed.', 'I thought I was going to buy this to upgrade the heater I use at work in the shop. I ended up just putting it in my car that I’m working on on the side of my house. It gets to about 80° inside just a car. I don’t expect it would be able to heat the shop. The fan is very weak as well.', 'It is good product for the price, it is slow on heating a large area but keeps it at a good temperature.', 'It came in a timely manner and works great as long as its pointed at you. Give it a little time and it does warm a small space up']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",DuraHeat,"Forced Air/Fan Heater, Electric Portable Heater","Handle, Indoor",,EUH1500,0013204415006,,EUH1500,,,,,,,,,0013204415006,,"Metal, Steel",Electric,"Garage, Wall",Variable,250 to 499sq ft,1500,Dial,,,,Forced Air,120 V,Multicolor,,,,,,,,24hr.,,,"8 in, 8in.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sengoku 150W Under Desk Mini Panel Electric Space Heater, Sp-160",74.61, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Unknown,Does not apply,,,Does Not Apply,0744110196849,,SP-160,,,,,,,,,705353442520,,,,,,,,,,,,,,Does Not Apply,,,,,,Sengoku,Does not apply,,,,,,,,,,,674 pounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15 x 1 x 21 inches,,,,,,,,,,,,,,,,,,,,,,,,,SP-160,1 year warranty,,,,,No,No,,10,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",KopBeau,,,,Does not apply,Does not apply,,Does not apply,,,,,,,,,791386665050,,,,,,,,,,,,,,,,,,,,,0791386665050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mini Electric Turbo Force Fan Forced Personal Heater Fan Black Home Office,72.99,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Does not apply,Does not apply,,,,0313098924944,,,,,,,,,,,313098924944,,,,,,,,,,,,,,Black,11.25 x 11.40 x 13.50 Inches,Electric,HHF540B,Indoor,7 lb,KAZ USA Inc.,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
